Controller,phi,RMSE,Chattering
ID,N/A,0.4382608107594528,0
SMC,0.2,0.5753233292776675,61.1491179986234
SMC,0.5,0.5674982276475615,61.1859550650703
SMC,1.0,0.5350052467666905,61.15533735388864
